  1,864,906,036  99% - ...
         11,328   0%                                    timer--time-less-p
          7,296   0%                                  timer-relative-time
          4,608   0%                                - timer-set-time
          4,608   0%                                   timer--time-setter
         33,912   0%                              seed7-line-starts-with
         25,600   0%                            - seed7-line-isa-string
         25,600   0%                               seed7-line-starts-with
         24,960   0%                              seed7-line-after-func-return-logic-operator-column
         15,968   0%                              seed7--indent-search-boundary
          1,024   0%                            - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                               seed7-line-starts-with
         72,192   0%                           - seed7-line-code-ends-with
         71,040   0%                            - seed7-re-search-backward
         46,464   0%                             - run-with-timer
         46,464   0%                              - run-at-time
         22,656   0%                               - timer-activate
         22,656   0%                                - timer--activate
         22,656   0%                                   timer--time-less-p
         14,592   0%                                 timer-relative-time
          9,216   0%                               - timer-set-time
          9,216   0%                                  timer--time-setter
         24,576   0%                               re-search-backward
          1,152   0%                            - seed7-move-to-line
          1,152   0%                               seed7-to-previous-non-empty-line
         11,264   0%                             seed7-line-starts-with
          1,024   0%                             looking-at
         18,096   0%                          - seed7-line-ends-with
         11,952   0%                           - seed7-re-search-backward
          6,144   0%                              re-search-backward
          5,808   0%                            - run-with-timer
          5,808   0%                             - run-at-time
          2,832   0%                              - timer-activate
          2,832   0%                               - timer--activate
          2,832   0%                                  timer--time-less-p
          1,824   0%                                timer-relative-time
          1,152   0%                              - timer-set-time
          1,152   0%                                 timer--time-setter
          6,144   0%                           - seed7-move-to-line
          6,144   0%                              seed7-to-previous-non-empty-line
          2,656   0%                            seed7-line-after-short-func-end
      1,580,796   0%                   profiler-stop
      2,013,426   0%   Automatic GC
