  1,291,047,898  99% - ...
          2,048   0%                              - forward-sexp
          2,048   0%                                 seed7--forward-sexp-function
         59,803   0%                            - seed7-line-is-defun-end
         29,688   0%                               looking-back
         18,424   0%                             - seed7-line-starts-with-any
         18,424   0%                                seed7-line-starts-with
         11,691   0%                             - seed7--safe-current-line-defun-start-indent
         11,691   0%                              - seed7-to-block-backward
         11,691   0%                               - seed7-re-search-backward
          8,307   0%                                  re-search-backward
          3,384   0%                                - run-with-timer
          3,384   0%                                 - run-at-time
          1,896   0%                                  - timer-activate
          1,896   0%                                   - timer--activate
          1,896   0%                                      timer--time-less-p
            912   0%                                    timer-relative-time
            576   0%                                  - timer-set-time
            576   0%                                     timer--time-setter
         58,473   0%                            - seed7-line-inside-a-block-cached
         58,473   0%                             - seed7-line-inside-a-block
         32,776   0%                              - seed7-re-search-backward
         28,200   0%                               - run-with-timer
         28,200   0%                                - run-at-time
         15,800   0%                                 - timer-activate
         15,800   0%                                  - timer--activate
         15,800   0%                                     timer--time-less-p
          7,600   0%                                   timer-relative-time
          4,800   0%                                 - timer-set-time
          4,800   0%                                    timer--time-setter
          4,576   0%                                 re-search-backward
         22,625   0%                              - seed7--safe-enclosing-block-bounds
         22,625   0%                               - seed7--block-end-pos-for
         22,625   0%                                - seed7-to-block-forward
         21,601   0%                                 - seed7-re-search-forward
         15,453   0%                                  - seed7-inside-comment-p
         15,453   0%                                   - syntax-ppss
         15,453   0%                                    - syntax-propertize
         15,453   0%                                       seed7-mode-syntax-propertize
          1,024   0%                                   seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          3,072   0%                                replace-regexp-in-string
         50,224   0%                            - seed7-line-inside-array-definition-block
         46,128   0%                             - seed7-re-search-backward
         30,456   0%                              - run-with-timer
         30,456   0%                               - run-at-time
         17,064   0%                                - timer-activate
         17,064   0%                                 - timer--activate
         17,064   0%                                    timer--time-less-p
          8,208   0%                                  timer-relative-time
          5,184   0%                                - timer-set-time
          5,184   0%                                   timer--time-setter
         15,672   0%                                re-search-backward
          4,096   0%                             - forward-sexp
          4,096   0%                                seed7--forward-sexp-function
         37,816   0%                            - seed7-line-inside-set-definition-block
         37,816   0%                             - seed7-re-search-backward
         30,456   0%                              - run-with-timer
         30,456   0%                               - run-at-time
         17,064   0%                                - timer-activate
         17,064   0%                                 - timer--activate
         17,064   0%                                    timer--time-less-p
          8,208   0%                                  timer-relative-time
          5,184   0%                                - timer-set-time
          5,184   0%                                   timer--time-setter
          7,360   0%                                re-search-backward
         37,624   0%                            - seed7-line-inside-assign-statement-continuation
         37,624   0%                             - seed7-assign-op-pos
         37,624   0%                              - seed7-re-search-backward
         30,456   0%                               - run-with-timer
         30,456   0%                                - run-at-time
         17,064   0%                                 - timer-activate
         17,064   0%                                  - timer--activate
         17,064   0%                                     timer--time-less-p
          8,208   0%                                   timer-relative-time
          5,184   0%                                 - timer-set-time
          5,184   0%                                    timer--time-setter
          7,168   0%                                 re-search-backward
          9,960   0%                            - seed7-line-inside-argument-list-section
          6,888   0%                             - seed7-re-search-backward
          3,504   0%                                re-search-backward
          3,384   0%                              - run-with-timer
          3,384   0%                               - run-at-time
          1,896   0%                                - timer-activate
          1,896   0%                                 - timer--activate
          1,896   0%                                    timer--time-less-p
            912   0%                                  timer-relative-time
            576   0%                                - timer-set-time
            576   0%                                   timer--time-setter
          3,072   0%                             - seed7-line-is-procfunc-beg-of-decl
          3,072   0%                                seed7-line-starts-with
          7,168   0%                            - seed7-line-isa-string
          7,168   0%                               seed7-line-starts-with
          7,168   0%                              seed7-line-starts-with
          6,456   0%                            - seed7-line-inside-logic-check-expression
          6,456   0%                             - seed7-to-previous-line-starts-with
          6,456   0%                              - seed7-re-search-backward
          3,384   0%                               - run-with-timer
          3,384   0%                                - run-at-time
          1,896   0%                                 - timer-activate
          1,896   0%                                  - timer--activate
          1,896   0%                                     timer--time-less-p
            912   0%                                   timer-relative-time
            576   0%                                 - timer-set-time
            576   0%                                    timer--time-setter
          3,072   0%                                 re-search-backward
          6,456   0%                            - seed7-line-inside-until-logic-expression
