  2,170,186,132  99% - ...
        519,552   0%                                 timer--time-setter
          4,144   0%                                timer-create
      2,952,818   0%                              re-search-backward
      3,937,126   0%                          - seed7-line-inside-logic-check-expression
      3,820,686   0%                           - seed7-to-previous-line-starts-with
      3,542,430   0%                            - seed7-re-search-backward
      1,822,230   0%                               re-search-backward
      1,720,200   0%                             - run-with-timer
      1,720,200   0%                              - run-at-time
        963,800   0%                               - timer-activate
        963,800   0%                                - timer--activate
        963,800   0%                                   timer--time-less-p
        463,600   0%                                 timer-relative-time
        292,800   0%                               - timer-set-time
        292,800   0%                                  timer--time-setter
        116,440   0%                           - seed7--current-line-nth-word
        116,440   0%                            - thing-at-point
         73,656   0%                             - bounds-of-thing-at-point
         49,104   0%                              - #<byte-code-function 4D0>
         49,104   0%                               - forward-thing
         49,104   0%                                  format
         24,552   0%                              - #<byte-code-function 670>
         24,552   0%                               - forward-thing
         24,552   0%                                  format
      3,915,824   0%                          - seed7-line-at-endof-array-definition-block
      3,911,680   0%                           - seed7-line-code-ends-with
      3,911,680   0%                            - seed7-re-search-backward
      2,619,216   0%                             - run-with-timer
      2,619,216   0%                              - run-at-time
      1,467,504   0%                               - timer-activate
      1,467,504   0%                                - timer--activate
      1,467,504   0%                                   timer--time-less-p
        705,888   0%                                 timer-relative-time
        445,824   0%                               - timer-set-time
        445,824   0%                                  timer--time-setter
      1,188,864   0%                               re-search-backward
         91,168   0%                             - seed7-inside-comment-p
         58,016   0%                              - syntax-ppss
         58,016   0%                                 make-closure
         12,432   0%                               seed7-inside-string-p
          4,144   0%                           - seed7-move-to-line
          4,144   0%                            - seed7-to-previous-non-empty-line
          4,144   0%                               seed7-inside-comment-p
      3,699,203   0%                          - seed7--indent-search-boundary
        159,407   0%                           - seed7--indent-search-boundary-uncached
        136,702   0%                            - syntax-ppss
        111,888   0%                               make-closure
         18,030   0%                               #<byte-code-function D8E>
          6,784   0%                               syntax-table
         21,008   0%                              seed7-to-indent
      3,005,208   0%                            seed7-line-starts-with
      2,921,200   0%                          - seed7-line-after-func-return-logic-operator-column
         40,960   0%                           - seed7-move-to-line
         40,960   0%                              seed7-to-previous-non-empty-line
      2,829,001   0%                          - seed7-line-after-short-func-end
         16,576   0%                           - seed7-move-to-line
         16,576   0%                            - seed7-to-previous-non-empty-line
          4,144   0%                               seed7-inside-comment-p
      2,794,088   0%                          - seed7-line-isa-string
      2,794,088   0%                             seed7-line-starts-with
      2,707,525   0%                          - seed7-line-at-endof-set-definition-block
      2,703,381   0%                           - seed7-line-code-ends-with
      2,699,237   0%                            - seed7-re-search-backward
      2,623,360   0%                             - run-with-timer
      2,623,360   0%                              - run-at-time
      1,467,504   0%                               - timer-activate
      1,467,504   0%                                - timer--activate
      1,467,504   0%                                   timer--time-less-p
        705,888   0%                                 timer-relative-time
        445,824   0%                               - timer-set-time
        445,824   0%                                  timer--time-setter
          4,144   0%                                 timer-create
         71,733   0%                             - seed7-inside-comment-p
         38,581   0%                              - syntax-ppss
         37,296   0%                                 make-closure
          1,285   0%                                 #<byte-code-function AB5>
          4,144   0%                               seed7-inside-string-p
          4,144   0%                           - seed7-move-to-line
          4,144   0%                              seed7-to-previous-non-empty-line
      2,588,440   0%                          - seed7-line-inside-argument-list-section
      1,600,453   0%                           - seed7-re-search-backward
        864,997   0%                              re-search-backward
        735,456   0%                            - run-with-timer
        735,456   0%                             - run-at-time
        412,064   0%                              - timer-activate
        412,064   0%                               - timer--activate
        412,064   0%                                  timer--time-less-p
        198,208   0%                                timer-relative-time
        125,184   0%                              - timer-set-time
        125,184   0%                                 timer--time-setter
        940,883   0%                           - seed7-line-is-procfunc-beg-of-decl
        940,883   0%                              seed7-line-starts-with
         47,104   0%                           - forward-sexp
         47,104   0%                              seed7--forward-sexp-function
      1,462,824   0%                          - seed7-line-inside-func-return-statement
      1,462,824   0%                           - seed7-re-search-backward
        742,224   0%                            - run-with-timer
        742,224   0%                             - run-at-time
        415,856   0%                              - timer-activate
        415,856   0%                               - timer--activate
        415,856   0%                                  timer--time-less-p
        200,032   0%                                timer-relative-time
        126,336   0%                              - timer-set-time
        126,336   0%                                 timer--time-setter
        720,600   0%                              re-search-backward
      1,435,712   0%                          - seed7-line-inside-until-logic-expression
      1,435,712   0%                           - seed7-re-search-backward
        742,224   0%                            - run-with-timer
        742,224   0%                             - run-at-time
        415,856   0%                              - timer-activate
        415,856   0%                               - timer--activate
        415,856   0%                                  timer--time-less-p
        200,032   0%                                timer-relative-time
        126,336   0%                              - timer-set-time
        126,336   0%                                 timer--time-setter
        693,488   0%                              re-search-backward
