      2,269,730 100% - ...
      2,269,730 100%  - #<primitive-function call-interactively>
      2,269,730 100%   - funcall-interactively
      2,269,730 100%    - smex
      2,269,730 100%     - smex-read-and-run
      2,269,730 100%      - execute-extended-command
      2,269,730 100%       - command-execute
      2,269,730 100%        - call-interactively
      2,269,730 100%         - apply
      2,269,730 100%          - call-interactively@ido-cr+-record-current-command
      2,269,730 100%           - #<primitive-function call-interactively>
      2,269,730 100%            - funcall-interactively
      2,269,730 100%             - pel-profile-all
      2,269,730 100%              - pel-profile-dir
      2,269,730 100%               - pel-profile-indent
      2,269,730 100%                - pel-profile-indentation-test-of
        101,114   4%                            - bounds-of-thing-at-point
        100,090   4%                             - #<byte-code-function CED>
        100,090   4%                              - forward-thing
         91,906   4%                               - forward-word
         91,906   4%                                - internal--syntax-propertize
         91,906   4%                                 - syntax-propertize
         91,906   4%                                    seed7-mode-syntax-propertize
          8,184   0%                                 format
          1,024   0%                               re-search-forward
         54,624   2%                          - seed7-line-inside-argument-list-section
         25,536   1%                           - seed7-re-search-backward
         18,264   0%                              re-search-backward
          7,272   0%                            - run-with-timer
          7,272   0%                             - run-at-time
          2,808   0%                              - timer-activate
          2,808   0%                               - timer--activate
          2,808   0%                                  timer--time-less-p
          2,736   0%                                timer-relative-time
          1,728   0%                              - timer-set-time
          1,728   0%                                 timer--time-setter
         24,992   1%                           - seed7-line-is-procfunc-beg-of-decl
         24,992   1%                              seed7-line-starts-with
          4,096   0%                           - forward-sexp
          4,096   0%                              seed7--forward-sexp-function
         31,144   1%                          - seed7-line-inside-parens-pair-column
         31,144   1%                           - seed7-line-inside-parens-pair
         22,952   1%                            - seed7-re-search-backward
         13,736   0%                             - run-with-timer
         13,736   0%                              - run-at-time
          5,304   0%                               - timer-activate
          5,304   0%                                - timer--activate
          5,304   0%                                   timer--time-less-p
          5,168   0%                                 timer-relative-time
          3,264   0%                               - timer-set-time
          3,264   0%                                  timer--time-setter
          9,216   0%                               re-search-backward
          8,192   0%                            - forward-sexp
          8,192   0%                               seed7--forward-sexp-function
         19,720   0%                          - seed7-line-inside-array-definition-block
         19,720   0%                           - seed7-re-search-backward
         10,504   0%                            - run-with-timer
         10,504   0%                             - run-at-time
          4,056   0%                              - timer-activate
          4,056   0%                               - timer--activate
          4,056   0%                                  timer--time-less-p
          3,952   0%                                timer-relative-time
          2,496   0%                              - timer-set-time
          2,496   0%                                 timer--time-setter
          9,216   0%                              re-search-backward
