  1,240,035,821  99% - ...
          4,144   0%                                timer-create
            762   0%                              #<byte-code-function 4BF>
     15,989,051   1%                          - seed7--indent-search-boundary
        540,161   0%                           - seed7--indent-search-boundary-uncached
        465,037   0%                            - syntax-ppss
        240,352   0%                               make-closure
        162,592   0%                               #<byte-code-function 6A0>
         62,093   0%                               syntax-table
         75,124   0%                              seed7-to-indent
     11,642,424   0%                          - seed7-line-after-func-return-logic-operator-column
        419,952   0%                           - seed7-move-to-line
        419,952   0%                              seed7-to-previous-non-empty-line
     11,413,436   0%                            seed7-line-starts-with
     10,908,768   0%                          - seed7-line-isa-string
